fin_de_semana,hora_date,linea,estacion,total
False,8,LineaC,San Juan,502.5217391304348
False,8,LineaD,9 de julio,622.5652173913044
False,8,LineaD,AgÃÂ¼ero,1214.2608695652175
False,8,LineaD,Bulnes,1565.5217391304348
False,8,LineaD,Callao,798.9565217391304
False,8,LineaD,Catedral,798.9565217391304
False,8,LineaD,Congreso de Tucuman,5351.521739130435
False,8,LineaD,Facultad de Medicina,1075.3478260869565
False,8,LineaD,Jose Hernandez,1612.8695652173913
False,8,LineaD,Juramento,1864.0
False,8,LineaD,Ministro Carranza,1502.8260869565217
False,8,LineaD,Olleros,1564.5652173913043
False,8,LineaD,Palermo,2092.3478260869565
False,8,LineaD,Plaza Italia,1147.8695652173913
False,8,LineaD,Pueyrredon.D,1075.9130434782608
False,8,LineaD,Scalabrini Ortiz,1671.6521739130435
False,8,LineaD,Tribunales,539.0434782608696
False,8,LineaE,Avenida La Plata,709.0869565217391
False,8,LineaE,Boedo,451.4347826086956
False,8,LineaE,Bolivar,284.69565217391306
False,8,LineaE,Catalinas,54.95652173913044
False,8,LineaE,Correo Central,135.52173913043478
False,8,LineaE,Emilio Mitre,752.1739130434783
False,8,LineaE,Entre Rios,445.4782608695652
False,8,LineaE,General Belgrano,139.3181818181818
False,8,LineaE,Independencia.H,380.7826086956522
False,8,LineaE,Jose Maria Moreno,669.5217391304348
False,8,LineaE,Jujuy,383.95652173913044
False,8,LineaE,Medalla Milagrosa,335.60869565217394
False,8,LineaE,Pichincha,311.5217391304348
False,8,LineaE,Pza. de los Virreyes,1524.5217391304348
False,8,LineaE,Retiro E,474.8695652173913
False,8,LineaE,San Jose,284.39130434782606
False,8,LineaE,Urquiza,373.3478260869565
False,8,LineaE,Varela,417.4347826086956
False,8,LineaH,Caseros,752.9565217391304
False,8,LineaH,Cordoba,521.1304347826087
False,8,LineaH,Corrientes,372.5217391304348
False,8,LineaH,Facultad de Derecho,201.52173913043478
False,8,LineaH,Hospitales,2730.1304347826085
False,8,LineaH,Humberto I,861.2173913043479
False,8,LineaH,Inclan,837.9565217391304
False,8,LineaH,Las Heras,762.3478260869565
False,8,LineaH,Once,1813.9565217391305
False,8,LineaH,Patricios,1335.2173913043478
False,8,LineaH,Santa Fe,690.5217391304348
False,8,LineaH,Venezuela,993.9130434782609
False,9,LineaA,Acoyte,1546.304347826087
False,9,LineaA,Alberti,214.1304347826087
False,9,LineaA,Carabobo,1450.9565217391305
False,9,LineaA,Castro Barros,806.3478260869565
False,9,LineaA,Congreso,613.304347826087
False,9,LineaA,Flores,1536.7391304347825
False,9,LineaA,Lima,341.39130434782606
False,9,LineaA,Loria,648.0
False,9,LineaA,Pasco,292.39130434782606
False,9,LineaA,Peru,220.69565217391303
False,9,LineaA,Piedras,200.2608695652174
False,9,LineaA,Plaza Miserere,1635.4347826086957
False,9,LineaA,Plaza de Mayo,574.5652173913044
False,9,LineaA,Primera Junta,1732.3478260869565
False,9,LineaA,Puan,903.2608695652174
False,9,LineaA,Rio de Janeiro,1142.391304347826
False,9,LineaA,Saenz PeÃÂ±a ,421.5652173913044
False,9,LineaA,San Pedrito,3396.0434782608695
False,9,LineaB,Angel Gallardo,1528.608695652174
False,9,LineaB,Callao.B,801.7391304347826
False,9,LineaB,Carlos Gardel,693.0
False,9,LineaB,Carlos Pellegrini,794.3913043478261
False,9,LineaB,Dorrego,835.6521739130435
False,9,LineaB,Echeverria,881.0
False,9,LineaB,Federico Lacroze,3812.086956521739
False,9,LineaB,Florida,316.60869565217394
False,9,LineaB,Leandro N. Alem,1026.8695652173913
False,9,LineaB,Los Incas,1205.5652173913043
False,9,LineaB,Malabia,2029.5652173913043
False,9,LineaB,Medrano,1400.1739130434783
False,9,LineaB,Pasteur,627.2608695652174
False,9,LineaB,Pueyrredon,871.8695652173913
False,9,LineaB,Rosas,3759.2608695652175
False,9,LineaB,Tronador,505.4347826086956
False,9,LineaB,Uruguay,634.2173913043479
False,9,LineaC,Avenida de Mayo,241.82608695652175
False,9,LineaC,Constitucion,10044.04347826087
False,9,LineaC,Diagonal Norte,172.7391304347826
False,9,LineaC,General San Martin,232.82608695652175
False,9,LineaC,Independencia,414.39130434782606
False,9,LineaC,Lavalle,196.2608695652174
False,9,LineaC,Mariano Moreno,226.8695652173913
False,9,LineaC,Retiro,3543.608695652174
False,9,LineaC,San Juan,480.82608695652175
False,9,LineaD,9 de julio,582.1304347826087
False,9,LineaD,AgÃÂ¼ero,1041.7391304347825
False,9,LineaD,Bulnes,1383.0
False,9,LineaD,Callao,916.3913043478261
False,9,LineaD,Catedral,825.6086956521739
False,9,LineaD,Congreso de Tucuman,3758.608695652174
False,9,LineaD,Facultad de Medicina,1082.9130434782608
False,9,LineaD,Jose Hernandez,1175.8695652173913
False,9,LineaD,Juramento,1384.7826086956522
False,9,LineaD,Ministro Carranza,1261.7391304347825
False,9,LineaD,Olleros,1260.1304347826087
False,9,LineaD,Palermo,1814.6521739130435
False,9,LineaD,Plaza Italia,956.2608695652174
False,9,LineaD,Pueyrredon.D,991.8260869565217
False,9,LineaD,Scalabrini Ortiz,1376.695652173913
False,9,LineaD,Tribunales,1274.391304347826
False,9,LineaE,Avenida La Plata,556.2173913043479
False,9,LineaE,Boedo,470.3181818181818
False,9,LineaE,Bolivar,301.2608695652174
False,9,LineaE,Catalinas,72.69565217391305
False,9,LineaE,Correo Central,153.65217391304347
False,9,LineaE,Emilio Mitre,512.6086956521739
False,9,LineaE,Entre Rios,350.7826086956522
False,9,LineaE,General Belgrano,141.04545454545453
False,9,LineaE,Independencia.H,405.0
False,9,LineaE,Jose Maria Moreno,500.77272727272725
False,9,LineaE,Jujuy,306.8636363636364
False,9,LineaE,Medalla Milagrosa,242.2608695652174
False,9,LineaE,Pichincha,239.77272727272728
False,9,LineaE,Pza. de los Virreyes,980.6086956521739
False,9,LineaE,Retiro E,422.2608695652174
False,9,LineaE,San Jose,215.65217391304347
False,9,LineaE,Urquiza,303.3181818181818
False,9,LineaE,Varela,278.3636363636364
False,9,LineaH,Caseros,521.5652173913044
False,9,LineaH,Cordoba,455.9130434782609
False,9,LineaH,Corrientes,327.4782608695652
False,9,LineaH,Facultad de Derecho,261.60869565217394
False,9,LineaH,Hospitales,1605.1739130434783
False,9,LineaH,Humberto I,666.3913043478261
False,9,LineaH,Inclan,572.695652173913
False,9,LineaH,Las Heras,706.6521739130435
False,9,LineaH,Once,1583.3478260869565
False,9,LineaH,Patricios,890.6086956521739
False,9,LineaH,Santa Fe,607.3478260869565
False,9,LineaH,Venezuela,786.0
False,10,LineaA,Acoyte,1113.8260869565217
False,10,LineaA,Alberti,251.56521739130434
False,10,LineaA,Carabobo,901.7826086956521
False,10,LineaA,Castro Barros,679.2608695652174
False,10,LineaA,Congreso,683.4347826086956
False,10,LineaA,Flores,934.7826086956521
False,10,LineaA,Lima,426.17391304347825
False,10,LineaA,Loria,611.9130434782609
False,10,LineaA,Pasco,289.7391304347826
False,10,LineaA,Peru,392.8695652173913
False,10,LineaA,Piedras,297.8695652173913
False,10,LineaA,Plaza Miserere,1280.5652173913043
False,10,LineaA,Plaza de Mayo,627.8695652173913
False,10,LineaA,Primera Junta,1112.1739130434783
False,10,LineaA,Puan,571.1739130434783
False,10,LineaA,Rio de Janeiro,830.8695652173913
False,10,LineaA,Saenz PeÃÂ±a ,514.1304347826087
False,10,LineaA,San Pedrito,2035.304347826087
False,10,LineaB,Angel Gallardo,1273.391304347826
False,10,LineaB,Callao.B,912.7391304347826
False,10,LineaB,Carlos Gardel,751.8260869565217
False,10,LineaB,Carlos Pellegrini,906.2608695652174
